id,verdict,reason
46,consistent,All claims are consistent with the backstory.
137,consistent,All claims are consistent with the backstory.
74,consistent,All claims are consistent with the backstory.
109,consistent,All claims are consistent with the backstory.
104,consistent,All claims are consistent with the backstory.
35,contradict,"The chunk never records Ayrton’s forged logbook or the botched marooning of Captain Grant, yet it depicts him as a passive, reluctant convict, contradicting the backstory."
18,consistent,All claims are consistent with the backstory.
31,contradict,"Tom Ayrton/Ben Joyce is depicted as a treasonous quartermaster with no reference to his backstory of rescuing elder Yurook, gaining tribal protection, learning bush tracking, or secretly mapping settler outposts."
68,consistent,All claims are consistent with the backstory.
9,consistent,All claims are consistent with the backstory.
84,contradict,"Kai-Koumou’s backstory says he sealed his emotions after a traumatic skirmish, yet the chunk claims his passions have ruined him and he seeks repentance, implying ongoing emotional turmoil."
83,contradict,"The chunk portrays Ayrton merely as a survivor sailor, omitting the raid‑raiding partnership and presence of Kai‑Koumou described in his backstory."
134,contradict,"The chunk presents Faria as a scholarly abbé focused on treasure and history, with no evidence of his secret‑society strategist or propagandist role in a campaign against corrupt rulers as his backstory states."
88,consistent,All claims are consistent with the backstory.
67,consistent,All claims are consistent with the backstory.
112,consistent,All claims are consistent with the backstory.
79,consistent,All claims are consistent with the backstory.
55,contradict,"Thalcave was meant to quietly alter the route to protect sacred Indian sites, yet the chunk depicts him taking a straight, unmodified path to Fort Independence with no indication of shielding those sites, revealing a narrative inconsistency."
12,consistent,All claims are consistent with the backstory.
13,contradict,"Jacques Paganel’s dialogue displays enthusiasm for the storm spectacle and a lack of deference or remorse toward Lady Glenarvan, failing to show the atoning, protective attitude his backstory requires."
102,consistent,All claims are consistent with the backstory.
92,consistent,All claims are consistent with the backstory.
1,consistent,All claims are consistent with the backstory.
11,consistent,All claims are consistent with the backstory.
65,consistent,All claims are consistent with the backstory.
107,consistent,All claims are consistent with the backstory.
66,consistent,All claims are consistent with the backstory.
89,consistent,All claims are consistent with the backstory.
34,contradict,"Tom Ayrton’s backstory says he planned to trade the illicit Australian land‑deal papers for a pardon, yet in the novel chunk he is portrayed as a stubborn mutineer who refuses to disclose any such information and is already being confined, contradicting his intended quid‑pro‑quo plan."
99,consistent,All claims are consistent with the backstory.
123,consistent,All claims are consistent with the backstory.
116,contradict,"Backstory labels Faria a Jacobin plotter in Lisbon, yet the chunk presents him as an abbé, secretary to Cardinal Spada, a grave ecclesiastical role, incompatible with Jacobin anti‑clericalism."
43,contradict,"Backstory asserts Tom Ayrton/Ben Joyce fled in a lifeboat to the Southern Hemisphere, yet the chunk depicts him aboard the Duncan, confined and questioned—no escape occurs, and a name mismatch (Tom Austin) further contradicts the backstory."
108,contradict,"The chunk is an intense account of violent captivity and escape, yet Noirtier's backstory emphasizes his pursuit of domestic peace and political withdrawal hoping his son Villefort would uphold those ideals, with no indication of Noirtier or Villefort present or acting accordingly."
128,contradict,"Faria’s backstory claims his invisible‑ink formula stemmed from temple‑mural restoration in India used to rescue defaced epics, yet the chunk depicts him concocting inks from soot and wine (plus blood) in prison, with no link to the Indian origin or epics rescue."
29,contradict,"Tom Ayrton/Ben Joyce is described as pressing a dagger into a boy’s hand before the boy was hanged, yet the chunk shows him being quietly questioned, remaining silent, with no reference to any dagger or such violent act."
69,contradict,"The chunk portrays Kai‑Koumou as a Maori chief who captures and potentially trades European prisoners, but never depicts his backstory actions of attacking the French merchantman Amethyst, seizing flint‑lock muskets, or sacrificing every prisoner to a volcano‑god, which directly contradicts the stated history."
50,consistent,All claims are consistent with the backstory.
5,contradict,"After his head injury, Paganel supposedly confuses dates and directions, yet the passage never exhibits such confusion, conflicting with the established backstory."
39,contradict,"The chunk shows Ayrton as an escaped convict with a band, yet the backstory lists him as a discharged sailor who adopted the alias Ben Joyce and sailed on a Liverpool‑Lisbon trader with Captain Dewey and second mate Eddie—an incongruent, non‑convict role."
19,consistent,All claims are consistent with the backstory.
113,consistent,All claims are consistent with the backstory.
139,consistent,All claims are consistent with the backstory.
71,consistent,All claims are consistent with the backstory.
26,contradict,"Tom Ayrton, whose backstory notes a deep distrust of authority, nonetheless presents a contract, follows commands, and cooperates with the governor’s crew, contradicting his reputed anti‑authority stance."
117,contradict,"Faria hid research manuscripts in a Madeira monastery cellar per backstory, yet the chunk contains no reference to those manuscripts or the cellar, conflicting with his stated actions."
6,contradict,"Paganel never meets Captain Grant or exchanges pocket‐watches in the chunk, contradicting the backstory of their Marseille bar meeting over tides."
76,consistent,All claims are consistent with the backstory.
17,consistent,All claims are consistent with the backstory.
20,contradict,"Jacques Paganel’s strong sense of rescue duty, instilled after the naval commander’s praise, is undermined by his defiant, threatening conduct towards comrades (e.g., “Cry and howl till you are tired”) and his indifference to their safety, contradicting the loyal rescuer portrayed in his backstory."
10,consistent,All claims are consistent with the backstory.
122,consistent,All claims are consistent with the backstory.
62,contradict,"Thalcave’s action of loading and firing his carbine at the yacht blatantly contradicts his backstory of being taciturn, calm, watchful, and piteous toward sufferers, showing reckless aggression rather than a restrained, watchful demeanor."
36,contradict,"The backstory claims Tom Ayrton/Ben Joyce’s Bible‑quoting habit served as a mask for his emotions, yet the novel chunk contains no biblical references or indication of such a ritual, contradicting the character’s established behavior."
73,consistent,All claims are consistent with the backstory.
98,contradict,"The novel chunk never mentions Noirtier, his hidden diplomatic letters, or his post‐speech ability to shield Valentine, contradicting the backstory’s assertion of those facts."
25,consistent,All claims are consistent with the backstory.
120,contradict,"Backstory claims Faria invented a “salt‑blood” ink that reveals under heat, but the novel chunk shows him making ink from soot dissolved in wine and using blood, with no reference to heat‑revealing properties."
105,consistent,All claims are consistent with the backstory.
57,consistent,All claims are consistent with the backstory.
106,consistent,All claims are consistent with the backstory.
118,contradict,"The backstory paints Faria as a conspirator with a code‑breaking motive, yet the chunk depicts him merely as a benevolent, cheerful prisoner with no sign of planned bombings or political intrigue."
126,consistent,All claims are consistent with the backstory.
4,contradict,Model failed to generate valid format after retries.
125,contradict,Model failed to generate valid format after retries.
40,contradict,"The passage betrays no evidence of Ayrton’s skill in shipboard medicine, his secret stitching of wounds or his mental log, contradicting the backstory that presents him as a skilled medic who kept a log and upheld a “save‑yourself‑first” instinct."
96,contradict,"The chunk portrays Noirtier as a fully active host with small hands and active dialogue, yet his back‑story declares he suffered paralysis that evolved his eye‑blink communication system—a condition the text does not acknowledge, producing an inconsistency."
45,contradict,"Tom Ayrton/Ben Joyce is described as caching weapons, torching a trader, and erecting a stone marker for repentance, yet the excerpt focuses on a Tom Austin crying about a burning tree with no trace of these backstory actions, showing a clear inconsistency."
54,consistent,All claims are consistent with the backstory.
8,consistent,All claims are consistent with the backstory.
32,contradict,"The novel chunk portrays Tom Ayrton/Ben Joyce merely as a stubborn quartermaster-turned-convict on a yacht, offering no evidence of his backstory’s role in steering tribe‑settler clashes toward mutual ruin or building an underground intelligence web, thereby contradicting the depth and scope of his previously established political machinations."
14,contradict,"Jacques Paganel’s backstory states he confirmed his identity with Major McNabbs through specific hand signs while living among the Charrúa, yet the novel chunk shows no such hand‑sign exchange, conflicting with that key aspect of his history."
63,consistent,All claims are consistent with the backstory.
41,consistent,All claims are consistent with the backstory.
23,consistent,All claims are consistent with the backstory.
90,consistent,All claims are consistent with the backstory.
100,consistent,All claims are consistent with the backstory.
138,consistent,All claims are consistent with the backstory.
130,contradict,"Faria is described as having died from lead poisoning in the backstory, yet the chunk portrays him alive and conversing."
48,consistent,All claims are consistent with the backstory.
